Name,Label,xtl,ytl,xbr,ybr,Condition,Image ID,video_type,sampling_mode,sampling_count,start_offset
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,740.0,397.0,1210.0,786.0,Control,50,virtual,frames,15,0.0
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,722.0,382.0,1239.0,809.0,Control,51,virtual,frames,15,0.0
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,722.0,382.0,1239.0,809.0,Control,52,virtual,frames,15,0.0
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,711.0,373.0,1256.0,822.0,Control,53,virtual,frames,15,0.0
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,687.0,354.0,1298.0,851.0,Control,54,virtual,frames,15,0.0
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,687.0,354.0,1298.0,851.0,Control,55,virtual,frames,15,0.0
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,673.0,343.0,1324.0,868.0,Control,56,virtual,frames,15,0.0
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,641.0,317.0,1390.0,908.0,Control,57,virtual,frames,15,0.0
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,641.0,317.0,1390.0,908.0,Control,58,virtual,frames,15,0.0
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,600.0,283.0,1485.0,958.0,Control,59,virtual,frames,15,0.0
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,600.0,283.0,1485.0,958.0,Control,60,virtual,frames,15,0.0
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,756.0,409.0,1186.0,767.0,Control,47,virtual,frames,15,0.0
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,749.0,403.0,1197.0,776.0,Control,48,virtual,frames,15,0.0
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,740.0,397.0,1210.0,786.0,Control,49,virtual,frames,15,0.0
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,731.0,390.0,1224.0,797.0,Control,50,virtual,frames,15,0.0
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,722.0,382.0,1239.0,809.0,Control,51,virtual,frames,15,0.0
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,711.0,373.0,1256.0,822.0,Control,52,virtual,frames,15,0.0
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,700.0,364.0,1276.0,836.0,Control,53,virtual,frames,15,0.0
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,687.0,354.0,1298.0,851.0,Control,54,virtual,frames,15,0.0
