Name,Label,xtl,ytl,xbr,ybr,Condition,Image ID
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,884,508,1030,613,Control,0
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,883,507,1031,615,Control,1
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,882,506,1032,616,Control,2
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,881,505,1033,617,Control,3
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,880,505,1034,618,Control,4
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,879,504,1036,620,Control,5
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,878,503,1037,621,Control,6
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,877,502,1038,623,Control,7
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,875,501,1039,624,Control,8
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,874,500,1041,625,Control,9
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,873,499,1042,627,Control,10
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,871,498,1044,629,Control,11
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,870,497,1045,630,Control,12
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,869,496,1047,632,Control,13
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,867,495,1048,634,Control,14
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,865,494,1050,636,Control,15
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,864,493,1052,637,Control,16
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,862,492,1053,639,Control,17
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,860,490,1055,641,Control,18
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,859,489,1057,644,Control,19
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,857,488,1059,646,Control,20
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,855,486,1061,648,Control,21
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,853,485,1063,650,Control,22
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,851,483,1066,653,Control,23
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,849,482,1068,655,Control,24
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,846,480,1071,658,Control,25
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,844,478,1073,661,Control,26
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,842,476,1076,664,Control,27
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,839,474,1079,667,Control,28
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,837,472,1082,670,Control,29
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,834,470,1085,673,Control,30
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,831,468,1089,677,Control,31
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,828,466,1092,680,Control,32
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,825,463,1096,684,Control,33
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,821,461,1100,688,Control,34
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,818,458,1104,692,Control,35
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,818,458,1104,692,Control,36
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,814,455,1109,697,Control,37
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,806,449,1119,706,Control,38
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,806,449,1119,706,Control,39
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,802,446,1124,712,Control,40
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,797,442,1130,717,Control,41
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,793,438,1136,723,Control,42
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,787,434,1143,729,Control,43
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,782,430,1150,736,Control,44
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,776,425,1158,743,Control,45
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,770,420,1167,750,Control,46
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,756,409,1186,767,Control,47
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,756,409,1186,767,Control,48
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,740,397,1210,786,Control,49
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,740,397,1210,786,Control,50
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,722,382,1239,809,Control,51
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,722,382,1239,809,Control,52
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,711,373,1256,822,Control,53
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,687,354,1298,851,Control,54
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,687,354,1298,851,Control,55
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,673,343,1324,868,Control,56
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,641,317,1390,908,Control,57
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,641,317,1390,908,Control,58
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,600,283,1485,958,Control,59
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,600,283,1485,958,Control,60
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,884,508,1030,613,Control,0
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,883,507,1031,615,Control,1
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,882,506,1032,616,Control,2
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,881,505,1033,617,Control,3
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,880,505,1034,618,Control,4
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,879,504,1036,620,Control,5
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,878,503,1037,621,Control,6
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,877,502,1038,623,Control,7
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,875,501,1039,624,Control,8
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,874,500,1041,625,Control,9
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,873,499,1042,627,Control,10
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,871,498,1044,629,Control,11
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,870,497,1045,630,Control,12
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,869,496,1047,632,Control,13
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,867,495,1048,634,Control,14
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,865,494,1050,636,Control,15
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,864,493,1052,637,Control,16
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,862,492,1053,639,Control,17
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,860,490,1055,641,Control,18
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,859,489,1057,644,Control,19
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,857,488,1059,646,Control,20
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,855,486,1061,648,Control,21
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,853,485,1063,650,Control,22
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,851,483,1066,653,Control,23
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,849,482,1068,655,Control,24
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,846,480,1071,658,Control,25
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,844,478,1073,661,Control,26
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,842,476,1076,664,Control,27
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,839,474,1079,667,Control,28
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,837,472,1082,670,Control,29
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,834,470,1085,673,Control,30
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,831,468,1089,677,Control,31
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,828,466,1092,680,Control,32
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,825,463,1096,684,Control,33
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,821,461,1100,688,Control,34
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,818,458,1104,692,Control,35
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,814,455,1109,697,Control,36
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,810,452,1113,701,Control,37
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,806,449,1119,706,Control,38
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,802,446,1124,712,Control,39
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,797,442,1130,717,Control,40
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,793,438,1136,723,Control,41
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,787,434,1143,729,Control,42
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,782,430,1150,736,Control,43
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,776,425,1158,743,Control,44
