Name,Label,xtl,ytl,xbr,ybr,Condition,Image ID,video_type
0_bdFixedNull_veh_noveh_4.5_61,DD-CR,740.0,397.0,1210.0,786.0,Control,50,virtual
0_bdFixedNull_veh_noveh_4.9_59,DD-CR,756.0,409.0,1186.0,767.0,Control,47,virtual
0_bdFixedNull_veh_noveh_5.1_52,DD-CR,749.0,403.0,1197.0,776.0,Control,41,virtual
0_bdFixedNull_veh_noveh_5.6_56,DD-CR,763.0,415.0,1176.0,758.0,Control,45,virtual
0_bdFixedNull_veh_noveh_6.1_54,DD-CR,763.0,415.0,1176.0,758.0,Control,42,virtual
0_bdFixedNull_veh_rev_noveh_4.5_62,DD-CR,1198.0,372.0,805.0,823.0,Control,47,virtual
0_bdFixedNull_veh_rev_noveh_4.9_61,DD-CR,1190.0,380.0,811.0,810.0,Control,45,virtual
0_bdFixedNull_veh_rev_noveh_5.1_56,DD-CR,1198.0,372.0,805.0,823.0,Control,39,virtual
0_bdFixedNull_veh_rev_noveh_5.6_58,DD-CR,1198.0,372.0,805.0,823.0,Control,44,virtual
0_bdFixedNull_veh_rev_noveh_6.1_55,DD-CR,1198.0,372.0,805.0,823.0,Control,42,virtual
1_bdFixedNull_veh_noveh_4.1_64,DD-CR,749.0,403.0,1197.0,776.0,Control,53,virtual
1_bdFixedNull_veh_noveh_4.9_58,DD-CR,711.0,373.0,1256.0,822.0,Control,36,virtual
1_bdFixedNull_veh_noveh_5.1_54,DD-CR,753.0,407.0,1191.0,771.0,Control,43,virtual
1_bdFixedNull_veh_noveh_5.6_60,DD-CR,770.0,420.0,1167.0,750.0,Control,48,virtual
1_bdFixedNull_veh_rev_noveh_4.1_65,DD-CR,1198.0,372.0,805.0,823.0,Control,51,virtual
1_bdFixedNull_veh_rev_noveh_4.9_59,DD-CR,1206.0,363.0,797.0,837.0,Control,30,virtual
1_bdFixedNull_veh_rev_noveh_5.1_55,DD-CR,1198.0,372.0,805.0,823.0,Control,41,virtual
1_bdFixedNull_veh_rev_noveh_5.6_63,DD-CR,1198.0,372.0,805.0,823.0,Control,49,virtual
1_bdFixedNull_wal_noveh_2.8_84,DD-CR,749.0,403.0,1197.0,776.0,Control,73,virtual
1_bdFixedNull_wal_rev_noveh_2.8_87,DD-CR,1198.0,372.0,805.0,823.0,Control,71,virtual
2_bdFixedNull_veh_noveh_4.1_63,DD-CR,756.0,409.0,1186.0,767.0,Control,52,virtual
2_bdFixedNull_veh_noveh_4.5_60,DD-CR,749.0,403.0,1197.0,776.0,Control,49,virtual
2_bdFixedNull_veh_noveh_6.7_45,DD-CR,756.0,409.0,1186.0,767.0,Control,34,virtual
2_bdFixedNull_veh_rev_noveh_4.1_66,DD-CR,1206.0,363.0,797.0,837.0,Control,51,virtual
2_bdFixedNull_veh_rev_noveh_4.5_62,DD-CR,1198.0,372.0,805.0,823.0,Control,47,virtual
2_bdFixedNull_veh_rev_noveh_6.7_47,DD-CR,1198.0,372.0,805.0,823.0,Control,32,virtual
2_bdFixedNull_wal_noveh_3.2_80,DD-CR,749.0,403.0,1197.0,776.0,Control,68,virtual
2_bdFixedNull_wal_noveh_3.6_72,DD-CR,740.0,397.0,1210.0,786.0,Control,60,virtual
2_bdFixedNull_wal_rev_noveh_3.2_82,DD-CR,1194.0,376.0,808.0,817.0,Control,66,virtual
2_bdFixedNull_wal_rev_noveh_3.6_74,DD-CR,1206.0,363.0,797.0,837.0,Control,58,virtual
3_bdFixedNull_veh_noveh_4.1_70,DD-CR,770.0,420.0,1167.0,750.0,Control,59,virtual
3_bdFixedNull_veh_noveh_4.5_58,DD-CR,749.0,403.0,1197.0,776.0,Control,47,virtual
3_bdFixedNull_veh_noveh_5.1_53,DD-CR,763.0,415.0,1176.0,758.0,Control,42,virtual
3_bdFixedNull_veh_noveh_5.1_56,DD-CR,749.0,403.0,1197.0,776.0,Control,45,virtual
3_bdFixedNull_veh_rev_noveh_4.1_73,DD-CR,1198.0,372.0,805.0,823.0,Control,60,virtual
3_bdFixedNull_veh_rev_noveh_4.5_60,DD-CR,1198.0,372.0,805.0,823.0,Control,45,virtual
3_bdFixedNull_veh_rev_noveh_5.1_56,DD-CR,1198.0,372.0,805.0,823.0,Control,42,virtual
3_bdFixedNull_veh_rev_noveh_5.1_58,DD-CR,1198.0,372.0,805.0,823.0,Control,44,virtual
3_bdFixedNull_wal_noveh_2.8_85,DD-CR,740.0,397.0,1210.0,786.0,Control,74,virtual
3_bdFixedNull_wal_rev_noveh_2.8_86,DD-CR,1198.0,372.0,805.0,823.0,Control,71,virtual
4_bdFixedNull_veh_noveh_4.9_59,DD-CR,763.0,415.0,1176.0,758.0,Control,48,virtual
4_bdFixedNull_veh_noveh_5.6_54,DD-CR,740.0,397.0,1210.0,786.0,Control,43,virtual
4_bdFixedNull_veh_noveh_6.1_52,DD-CR,756.0,409.0,1186.0,767.0,Control,41,virtual
4_bdFixedNull_veh_noveh_6.7_46,DD-CR,763.0,415.0,1176.0,758.0,Control,34,virtual
4_bdFixedNull_veh_rev_noveh_4.9_62,DD-CR,1198.0,372.0,805.0,823.0,Control,48,virtual
4_bdFixedNull_veh_rev_noveh_5.6_56,DD-CR,1206.0,363.0,797.0,837.0,Control,41,virtual
4_bdFixedNull_veh_rev_noveh_6.1_54,DD-CR,1198.0,372.0,805.0,823.0,Control,40,virtual
4_bdFixedNull_veh_rev_noveh_6.7_48,DD-CR,1198.0,372.0,805.0,823.0,Control,34,virtual
4_bdFixedNull_wal_noveh_3.2_79,DD-CR,737.0,394.0,1216.0,791.0,Control,68,virtual
4_bdFixedNull_wal_rev_noveh_3.2_82,DD-CR,1198.0,372.0,805.0,823.0,Control,66,virtual
5_bdFixedNull_veh_noveh_4.1_62,DD-CR,731.0,390.0,1224.0,797.0,Control,51,virtual
5_bdFixedNull_veh_noveh_4.5_59,DD-CR,740.0,397.0,1210.0,786.0,Control,48,virtual
5_bdFixedNull_veh_noveh_4.9_60,DD-CR,756.0,409.0,1186.0,767.0,Control,49,virtual
5_bdFixedNull_veh_noveh_5.6_53,DD-CR,756.0,409.0,1186.0,767.0,Control,42,virtual
5_bdFixedNull_veh_rev_noveh_4.1_64,DD-CR,1198.0,372.0,805.0,823.0,Control,48,virtual
5_bdFixedNull_veh_rev_noveh_4.5_59,DD-CR,1198.0,372.0,805.0,823.0,Control,45,virtual
5_bdFixedNull_veh_rev_noveh_4.9_63,DD-CR,1198.0,372.0,805.0,823.0,Control,49,virtual
5_bdFixedNull_veh_rev_noveh_5.6_55,DD-CR,1198.0,372.0,805.0,823.0,Control,41,virtual
5_bdFixedNull_wal_noveh_3.6_71,DD-CR,749.0,403.0,1197.0,776.0,Control,59,virtual
5_bdFixedNull_wal_rev_noveh_3.6_74,DD-CR,1198.0,372.0,805.0,823.0,Control,58,virtual
control1,DD-CR,725.88,574.34,973.95,787.52,Control,33,real
control2,DD-CR,931.59,453.21,1155.85,610.03,Control,51,real
control3,DD-CR,842.84,485.1,1122.17,653.57,Control,61,real
control4,DD-CR,748.16,563.03,996.61,725.5,Control,36,real
control5,DD-CR,1110.62,520.19,1375.42,703.6,Control,46,real
natila part3,DD-CR,722.64,665.15,1012.2,826.38,Control,94,real
new gobi1,DD-CR,820.17,712.21,1025.61,864.68,Control,74,real
new ireland,DD-CR,863.36,512.21,1028.97,633.0,Control,74,real
new nalati,DD-CR,821.95,631.34,1050.26,827.59,Control,74,real
NewCut_1201,DD-CR,831.11,515.79,1030.65,746.8,Control,78,real
NewCut_1301,Occlusion-OR,5.42,340.66,729.86,789.1,OcclusionOnly,57,real
NewCut_1601,DD-CR,736.92,568.06,1017.83,860.78,Control,68,real
NewCut_1701,DD-CR,936.81,534.46,1194.06,835.8,Control,71,real
NewCut_201,DD-CR,1137.3,507.83,1340.86,699.28,Control,68,real
NewCut_401,DD-CR,1074.93,517.1,1352.22,745.9,Control,74,real
NewCut_601,DD-CR,740.81,480.41,956.2,699.05,Control,58,real
NewCut_801,DD-CR,742.73,507.0,930.68,690.68,Control,66,real
